Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000244612352565399,0.000485479617489237,0.0326376358612681,0,0,0,2.87390874402089,0.0617363730328286,-1.79554709061086E-06,-1.461101358096E-05,0.112049746493107,2.94917393457782E-05,0.165620961077516,0,0,0,0,0,0,package://Assem_fnl/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem_fnl/meshes/base_link.STL,,base-1,base_link <base-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_sh1_1,4.44089209850063E-16,-0.00429143099730334,1.11022302462516E-16,0,0,0,0.242679781351888,0.00105431061943093,9.83798597712776E-20,0,7.09644993816063E-05,1.74209797947926E-20,0.00105431061943093,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh1_1.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh1_1.STL,,shaft-1,Coordinate System1 <shaft-1>,Axis1 <shaft-1>,joint_sh1_1,revolute,0.246,0.1631,0.053,0,0.61414,0,base_link,0,1,0,0,0,0,6.283,,,,,,,,
link_t1_1,0,-0.0437281587639727,-5.55111512312578E-17,0,0,0,5.91658940279089,0.0389275841881526,6.1085728249785E-19,0,0.0701293106760693,-1.12172461341251E-19,0.0389275841881526,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t1_1.STL,,tyre-2,Coordinate System1 <tyre-2>,Axis1 <tyre-2>,joint_t1_1,fixed,0,0.047,0,3.1416,-1.3284,0,link_sh1_1,0,0,0,0,0,0,0,,,,,,,,
link_sh1_2,2.77555756156289E-16,-0.00429143099730345,0,0,0,0,0.242679781351888,0.00105431061943093,1.2778022072121E-19,0,7.09644993816063E-05,5.42120323253331E-22,0.00105431061943093,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh1_2.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh1_2.STL,,shaft-2,Coordinate System1 <shaft-2>,Axis1 <shaft-2>,joint_sh1_2,revolute,0.246,-0.163,0.053,0,-0.37309,3.1416,base_link,0,1,0,0,0,0,6.283,,,,,,,,
link_t1_2,0,-0.0437281587639727,0,0,0,0,5.91658940279089,0.0389275841881525,4.63214984526368E-19,-5.20417042793042E-18,0.0701293106760692,2.66682381715024E-20,0.0389275841881526,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t1_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t1_2.STL,,tyre-1,Coordinate System1 <tyre-1>,Axis1 <tyre-1>,joint_t1_2,fixed,0,0.047,0,0,0.6334,3.1416,link_sh1_2,0,0,0,0,0,0,0,,,,,,,,
link_sh2_1,3.05311331771918E-16,0.0266401832789713,0,0,0,0,0.239127818157923,0.00103171822412488,2.99910250054013E-18,0,7.0864600416776E-05,4.03048307034163E-19,0.00103171822412488,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh2_1.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh2_1.STL,,3rd shaft-1,Coordinate System1 <3rd shaft-1>,Axis1 <3rd shaft-1>,joint_sh2_1,revolute,-0.246,0.127,0.053,3.1416,1.0385,3.1416,base_link,0,1,0,0,0,0,6.283,,,,,,,,
link_t2_1,0,-0.0437281587639727,0,0,0,0,5.91658940279089,0.0389275841881526,-6.659994154134E-19,-1.30104260698261E-18,0.0701293106760693,9.12347659277614E-20,0.0389275841881526,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t2_1.STL,,tyre-3,Coordinate System1 <tyre-3>,Axis1 <tyre-3>,joint_t2_1,fixed,0,0.083,0,3.1416,-0.37818,0,link_sh2_1,0,0,0,0,0,0,0,,,,,,,,
link_sh2_2,3.81639164714898E-16,0.0266401832789712,0,0,0,0,0.239127818157923,0.00103171822412489,2.9496974125636E-18,0,7.0864600416776E-05,3.78161365641908E-19,0.00103171822412489,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh2_2.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_sh2_2.STL,,3rd shaft-2,Coordinate System1 <3rd shaft-2>,Axis1 <3rd shaft-2>,joint_sh2_2,revolute,-0.246,-0.127,0.053,0,-0.080442,3.1416,base_link,0,1,0,0,0,0,6.283,,,,,,,,
link_t2_2,0,-0.0437281587639727,0,0,0,0,5.91658940279089,0.0389275841881525,-1.12898303043617E-18,0,0.0701293106760693,7.35068248482901E-20,0.0389275841881526,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t2_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_t2_2.STL,,tyre-4,Coordinate System1 <tyre-4>,Axis1 <tyre-4>,joint_t2_2,fixed,0,0.083,0,0,-0.14131,3.1416,link_sh2_2,0,0,0,0,0,0,0,,,,,,,,
link_Msh_1,1.16573417585641E-15,-0.00431066680731296,1.66533453693773E-16,0,0,0,0.157125962256714,0.000153269293611727,-3.05676863221821E-18,-2.71050543121376E-20,5.77250381312009E-05,-3.68104912293283E-19,0.000153269293611727,0,0,0,0,0,0,package://Assem_fnl/meshes/link_Msh_1.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_Msh_1.STL,,2nd shaft-1,Coordinate System1 <2nd shaft-1>,Axis1 <2nd shaft-1>,joint_Msh_1,revolute,0,0.152,0.085,3.1416,-0.48321,0,base_link,0,1,0,0,0,0,6.283,,,,,,,,
link_Msh_2,1.16573417585641E-15,-0.00431066680731285,1.66533453693773E-16,0,0,0,0.157125962256714,0.000153269293611728,-3.05723878991772E-18,-2.03287907341032E-20,5.77250381312011E-05,-3.9348658957067E-19,0.000153269293611728,0,0,0,0,0,0,package://Assem_fnl/meshes/link_Msh_2.STL,0.647058823529412,0.619607843137255,0.584313725490196,1,0,0,0,0,0,0,package://Assem_fnl/meshes/link_Msh_2.STL,,2nd shaft-2,Coordinate System1 <2nd shaft-2>,Axis1 <2nd shaft-2>,joint_Msh_2,revolute,0,-0.152,0.085,0,-0.02542,0,base_link,0,1,0,0,0,0,6.283,,,,,,,,
